State,City,Highschool
AL,Abanda CDP,21.2
AL,Abbeville,69.1
AL,Adamsville,78.9
AL,Addison town,81.4
AL,Akron town,68.6
AL,Alabaster,89.3
AL,Albertville,72.7
AL,Alexander,78.1
AL,Alexandria CDP,88.8
AL,Aliceville,74.3
AL,Allgood town,48.1
AL,Altoona town,66.9
AL,Andalusia,81.1
AL,Anderson town,85.7
AL,Anniston,79.8
AL,Arab,87.6
AL,Ardmore town,77.7
AL,Argo town,87.5
AL,Ariton town,71.3
AL,Arley town,80.6
AL,Ashford town,83.5
AL,Ashland town,77.9
AL,Ashville,77.6
AL,Athens,83.4
AL,Atmore,73.7
AL,Attalla,76.0
AL,Auburn,94.3
AL,Autaugaville town,71.2
AL,Avon town,82.8
AL,Axis CDP,79.9
AL,Babbie town,81.2
AL,Baileyton town,74.7
AL,Bakerhill town,72.4
AL,Ballplay CDP,80.3
AL,Banks town,73.0
AL,Bay Minette,79.1
AL,Bayou La Batre,58.5
AL,Bear Creek town,76.7
AL,Beatrice town,89.1
AL,Beaverton town,87.9
AL,Belgreen CDP,87.0
AL,Belk town,63.8
AL,Bellamy CDP,86.5
AL,Belle Fontaine CDP,91.9
AL,Benton town,100.0
AL,Berry town,65.4
AL,Bessemer,81.5
AL,Billingsley town,71.3
AL,Birmingham,85.1
AL,Black town,90.0
AL,Blountsville town,73.1
AL,Blue Ridge CDP,97.6
AL,Blue Springs town,95.6
AL,Boaz,76.6
AL,Boligee town,79.9
AL,Bon Air town,85.7
AL,Bon Secour CDP,79.0
AL,Boykin CDP,53.7
AL,Brantley town,75.1
AL,Brantleyville CDP,85.1
AL,Brent,73.8
AL,Brewton,84.5
AL,Bridgeport,74.9
AL,Brighton,78.6
AL,Brilliant town,75.9
AL,Bristow Cove CDP,65.1
AL,Brook Highland CDP,96.2
AL,Brookside town,78.7
AL,Brookwood town,83.1
AL,Broomtown CDP,66.2
AL,Brundidge,77.2
AL,Bucks CDP,100.0
AL,Butler town,80.2
AL,Calera,89.1
AL,Calvert CDP,22.8
AL,Camden,82.8
AL,Camp Hill town,76.6
AL,Carbon Hill,65.4
AL,Cardiff town,72.7
AL,Carlisle-Rockledge CDP,73.1
AL,Carlton CDP,77.0
AL,Carolina town,87.8
AL,Carrollton town,71.0
AL,Castleberry town,75.9
AL,Catherine CDP,100.0
AL,Cedar Bluff town,77.9
AL,Center Point,87.1
AL,Centre,76.7
AL,Centreville,81.6
AL,Chatom town,76.0
AL,Chelsea,93.5
AL,Cherokee town,80.9
AL,Chickasaw,79.9
AL,Childersburg,78.8
AL,Choccolocco CDP,89.4
AL,Chunchula CDP,91.2
AL,Citronelle,82.5
AL,Clanton,76.8
AL,Clay,92.2
AL,Clayhatchee town,85.3
AL,Clayton town,57.8
AL,Cleveland town,74.4
AL,Clio,63.1
AL,Coaling town,88.2
AL,Coats Bend CDP,90.9
AL,Coffee Springs town,78.0
AL,Coffeeville town,71.7
AL,Coker town,89.2
AL,Collinsville town,52.0
AL,Colony town,77.0
AL,Columbia town,79.0
AL,Columbiana,74.4
AL,Concord CDP,91.3
AL,Coosada town,84.3
AL,Cordova,79.8
AL,Cottondale CDP,74.9
AL,Cottonwood town,76.3
AL,County Line town,83.9
AL,Courtland town,79.6
AL,Cowarts town,86.0
AL,Creola,84.4
AL,Crossville town,70.4
AL,Cuba town,92.1
AL,Cullman,85.3
AL,Cullomburg CDP,93.4
AL,Cusseta town,83.7
AL,Dadeville,73.7
AL,Daleville,85.3
AL,Daphne,95.8
AL,Dauphin Island town,95.8
AL,Daviston town,87.8
AL,Dayton town,100.0
AL,Deatsville town,96.3
AL,Decatur,82.7
AL,Deer Park CDP,86.3
AL,Delta CDP,87.0
AL,Demopolis,89.1
AL,Detroit town,64.8
AL,Dodge town,81.7
AL,Dora,82.3
AL,Dothan,86.2
AL,Double Springs town,74.5
AL,Douglas town,78.5
AL,Dozier town,79.1
AL,Dunnavant CDP,76.0
AL,Dutton town,90.6
AL,East Brewton,83.6
AL,East Point CDP,91.4
AL,Eclectic town,84.2
AL,Edgewater CDP,84.1
AL,Edwardsville town,87.0
AL,Egypt CDP,84.9
AL,Elba,76.9
AL,Elberta town,85.8
AL,Eldridge town,75.0
AL,Elkmont town,78.2
AL,Elmore town,70.5
AL,Emelle town,79.3
AL,Emerald Mountain CDP,90.9
AL,Enterprise,89.2
AL,Epes town,81.6
AL,Ethelsville town,80.6
AL,Eufaula,81.5
AL,Eunola CDP,96.1
AL,Eutaw town,73.2
AL,Eva town,91.2
AL,Evergreen,79.2
AL,Excel town,86.0
AL,Fairfield,88.9
AL,Fairford CDP,57.6
AL,Fairhope,95.4
AL,Fairview town,82.0
AL,Falkville town,65.1
AL,Faunsdale town,85.7
