State,City,Kills
AK,Kenai Peninsula,1
AK,Big Lake,1
AK,Spenard,1
AK,Fairbanks,5
AK,Anchorage,3
AK,Houston,1
AK,Barrow,1
AK,Wasilla,2
AL,Saraland,1
AL,Arab,1
AL,Clay,1
AL,Bay Minette,1
AL,Oxford,1
AL,Macon County,1
AL,Sylacauga,1
AL,Clanton,2
AL,Abbeville,1
AL,Phenix City,4
AL,Jackson County,1
AL,Baldwin County,1
AL,Washington County,1
AL,Muscle Shoals,1
AL,Mobile,1
AL,Piedmont,1
AL,Huntsville,4
AL,Rainbow City,1
AL,Brooksville,1
AL,Westover,1
AL,Hoover,1
AL,Killeen,1
AL,Opelika,1
AL,Ashville,1
AL,Eastaboga,1
AL,Eufaula,1
AL,Montgomery,1
AL,Monroeville,1
AL,Dadeville,1
AL,Homewood,2
AL,Gadsden,1
AL,Opp,1
AL,Tuscaloosa,1
AL,Deer Park,1
AL,Birmingham,3
AL,Meridianville,1
AL,Tuscumbia,1
AL,Millbrook,1
AL,Selma,1
AL,Lawrence County,1
AR,Little Rock,4
AR,Springdale,1
AR,Mountain Pine,1
AR,Farmington,1
AR,Sims,1
AR,Mena,1
AR,Cabot,1
AR,Dover,1
AR,Jonesboro,1
AR,Manila,1
AR,Fayetteville,2
AR,Strong,1
AR,Benton,2
AR,Sheridan,1
AR,West Memphis,1
AR,Perryville,1
AR,Desha,1
AR,Marion,1
AR,England,1
AR,Bull Shoals,1
AR,Austin,1
AZ,Gilbert,2
AZ,Winslow,1
AZ,Phoenix,31
AZ,Cottonwood,2
AZ,Maricopa,1
AZ,Glendale,7
AZ,Parker,1
AZ,Surprise,1
AZ,Lake Havasu City,1
AZ,Eagar,3
AZ,Goodyear,1
AZ,Sierra Vista,1
AZ,Scottsdale,3
AZ,Show Low,1
AZ,Tempe,6
AZ,Bullhead City,1
AZ,Flagstaff,3
AZ,Pima,1
AZ,Morenci,1
AZ,Buckeye,1
AZ,Mesa,6
AZ,Apache Junction,2
AZ,Sun City,2
AZ,Yuma,1
AZ,Red Valley,1
AZ,Kearny,1
AZ,Golden Valley,1
AZ,Florence,1
AZ,La Paz County,1
AZ,Somerton,1
AZ,Marana,1
AZ,Golden Shores,1
AZ,Chandler,2
AZ,Tucson,14
AZ,Wilhoit,1
AZ,Kingman,5
AZ,Casa Grande,1
AZ,Bisbee,1
AZ,Prescott,2
AZ,Avondale,3
AZ,San Manuel,1
CA,Rosemead,1
CA,Dunsmuir,2
CA,Watsonville,1
CA,Del Mar,1
CA,South Lake Tahoe,1
CA,West Goshen,1
CA,Olivehurst,1
CA,Pleasanton,2
CA,Hayward,2
CA,Union City,1
CA,Panorama City,1
CA,Santa Clara,2
CA,Torrance,1
CA,Lakewood,1
CA,Carmichael,2
CA,Madera,1
CA,East Hollywood,1
CA,Anaheim,5
CA,Studio City,1
CA,Chico,4
CA,Camarillo,1
CA,Tustin,1
CA,Montebello,1
CA,Apple Valley,1
CA,Lemoore,1
CA,Burbank,2
CA,Newark,2
CA,Seaside,1
CA,Hacienda Heights,1
CA,Winchester,1
CA,Lompoc,1
CA,Newman,1
CA,Downey,1
CA,Boyle Heights,1
CA,Bell,1
CA,Coalinga,1
CA,San Fernando,1
CA,Selma,1
CA,Temecula,3
CA,Antioch,2
CA,Montclair,1
CA,San Jose,11
CA,Desert Edge,1
CA,South Los Angeles,1
CA,Gilroy,1
CA,Maywood,1
CA,Atwater,1
CA,Lancaster,2
CA,Los Angeles,39
CA,Chino,2
CA,El Cajon,2
CA,Lincoln,1
CA,Bellflower,1
CA,Byron,1
CA,Santee,1
CA,Shafter,1
CA,University City,1
CA,Yreka,1
CA,Lynwood,1
CA,Huntington Park,1
CA,Vallejo,2
CA,Long Beach,11
CA,Tehachapi,1
CA,San Mateo,1
CA,Van Nuys,2
CA,Emeryville,1
CA,South Gate,3
CA,Fontana,3
CA,Carson,1
CA,San Francisco,11
CA,Fullerton,1
CA,Fairfield,1
CA,Escondido,1
CA,La Mirada,1
CA,Campo,1
CA,Oxnard,1
CA,Grass Valley,1
CA,Salinas,1
CA,Corning,1
CA,South El Monte,1
CA,Hemet,6
CA,Avenal,1
CA,Barstow,2
CA,Modesto,5
CA,Santa Nella,1
CA,Calimesa,1
CA,Poway,1
CA,Sylmar,2
CA,Smartsville,1
CA,Jurupa Valley,2
CA,Wilmington,1
CA,Citrus Heights,3
CA,Fresno,11
CA,Douglas City,1
CA,Redding,2
CA,Sunnyvale,3
CA,Pico Rivera,1
CA,Hawaiian Gardens,1
CA,San Marcos,1
CA,Windsor,1
CA,Santa Cruz,1
CA,Venice,1
CA,Rialto,2
CA,Ceres,1
CA,Irvine,1
CA,Palm Springs,1
CA,Weitchpec,1
CA,Santa Ana,8
CA,Eureka,1
CA,Cerritos,2
CA,Saratoga,1
CA,Kings County,1
CA,Pacific Beach,1
CA,Meadow Vista,1
CA,Santa Barbara,1
CA,Calexico,1
CA,La Quinta,1
CA,Beaumont,1
CA,Ladera Heights,1
CA,Visalia,2
CA,San Bernardino,9
CA,Castaic,1
CA,Napa,3
CA,Atascadero,1
CA,Santa Clarita,1
CA,Brawley,1
CA,Alpine,1
CA,Palo Alto,1
CA,San Ysidro,1
CA,Highgrove,1
CA,Grover Beach,1
CA,Hesperia,1
CA,Delano,1
CA,Hollywood,1
CA,Rocklin,1
CA,Azusa,3
CA,Compton,3
CA,Barona Indian Reservation,1
CA,San Diego County,1
CA,Ripon,2
CA,Fountain Valley,1
CA,Alhambra,1
CA,Glendale,1
CA,Hollywood Hills,2
CA,El Monte,2
CA,Sand City,2
CA,West Covina,1
CA,Solvang,1
CA,Lodi,1
CA,Yorba Linda,1
CA,Cottonwood,1
CA,Delhi,1
CA,Olympic Valley,1
CA,Redlands,1
CA,Valinda,1
CA,Turlock,1
CA,Sacramento,5
CA,Encinitas,1
CA,Marina,1
CA,Point Loma,1
CA,Norwalk,1
CA,Elk Grove,1
CA,Ontario,4
CA,Huntington Beach,1
CA,Wasco,1
CA,Newport Beach,1
CA,Concord,1
CA,Twentynine Palms,1
CA,Riverside,1
CA,Indio,3
CA,Fremont,3
CA,Stockton,7
CA,Gardena,1
CA,Hawthorne,1
CA,Clearlake Park,1
CA,Orange,2
CA,Dinuba,1
CA,Cabazon,1
CA,Needles,1
CA,Inyokern,1
CA,Vacaville,1
CA,Moreno Valley,2
CA,Boulder Creek,1
CA,Santa Paula,1
CA,Vista,2
CA,Clovis,1
CA,Chula Vista,1
CA,Porterville,1
CA,Walnut Creek,1
CA,Pomona,1
CA,Chatsworth,1
CA,Fair Oaks,2
CA,Rancho Santa Margarita,1
CA,Chowchilla,1
CA,McKinneyville,1
CA,Pinion Hills,1
CA,Cathedral City,1
CA,Happy Valley,1
CA,Watsonsville,1
CA,Monterey,1
CA,Whittier,2
CA,Oakland,7
CA,Santa Maria,2
CA,Palmdale,2
CA,Anderson,1
CA,Inglewood,2
CA,City Terrace,1
CA,Bakersfield,13
CA,Lake Elsinore,2
CA,Antelope,1
CA,Aguanga,1
CA,San Diego,9
CA,Highland,1
CA,Merced,1
CA,North Hills,1
CA,Florence,2
CA,Siskiyou County,1
CA,Yuba City,1
CA,Santa Monica,1
CA,Colton,1
CA,Rancho Cordova,2
CO,Broomfield,1
CO,Commerce City,1
CO,Lakewood,2
CO,Colorado Springs,5
CO,Greeley,2
CO,Trinidad,1
CO,Park County,1
CO,Grand Junction,3
CO,Colorado City,1
CO,New Castle,1
CO,Dinosaur,1
CO,Parker,1
CO,Northglenn,2
CO,Englewood,1
CO,Bailey,1
CO,Federal Heights,1
CO,Mountain View,1
CO,Boulder,4
CO,Fort Collins,4
CO,Eldorado Springs,1
CO,Westminster,6
CO,Loveland,3
CO,Strasburg,1
CO,Evans,2
CO,Thornton,1
CO,Brighton,1
CO,Denver,11
CO,Aurora,6
CO,Montrose County,1
CO,Ca\96on City,1
CO,Centennial,1
CO,Pueblo,4
CO,Fountain,1
CT,Bridgeport,1
CT,Fairfield,1
CT,Oakdale,1
CT,Suffield,1
CT,Bolton,1
CT,Stamford,1
CT,Thomaston,1
CT,Mashantucket,1
CT,Old Saybrook,1
DC,Washington,11
DE,Middletown,1
DE,Smyrna,1
DE,Frederica,1
DE,Claymont,1
DE,Wilmington,3
DE,New Castle,1
FL,Lakes Wales,1
FL,Panama City,1
FL,Thonotosassa,1
FL,Largo,1
FL,Micanopy,1
FL,Holiday,1
FL,Niceville,1
FL,Orlando,9
FL,Opa-Locka,1
FL,Brooksville,2
FL,Homestead,2
FL,Crescent City,1
FL,Yulee,1
FL,Fort Walton Beach,2
FL,Mascotte,1
FL,Pensacola,1
FL,Carollwood,1
FL,Titusville,1
FL,Palm Beach Gardens,1
FL,Pompano Beach,2
FL,Lakeland,3
FL,Lake Asbury,1
FL,North Port,1
FL,Englewood,1
FL,Lake Wales,1
FL,Hog Valley,1
FL,Orange City,1
FL,Palm Bay,3
FL,Immokalee,1
FL,Cocoa,2
FL,Orange Park,1
FL,Weeki Wachi,1
FL,Fruitland Park,1
FL,Noma,1
FL,Milton,1
FL,Floral City,1
FL,Ft. Lauderdale,1
FL,Cape Canaveral,1
FL,Bradenton,2
FL,Delray Beach,1
FL,Navarre,1
FL,Auburndale,1
FL,Tampa,5
FL,Manatee,1
FL,Naples,1
FL,Vero Beach,1
FL,Jacksonsville,1
FL,Plantation,1
FL,Gifford,1
FL,Callahan,1
FL,Loxahatchee,1
FL,Middleburg,1
FL,St. Petersburg,2
FL,Miami,17
FL,Port St. Lucie,2
FL,Little Havana,1
FL,Riverview,2
FL,Hallandale Beach,1
FL,Jupiter,1
FL,Jacksonville,11
FL,Palm Harbor,1
FL,Wellington,1
FL,Cape Coral,2
FL,Belle Glade,1
FL,Miami Gardens,2
FL,DeLand,2
FL,Deltona,4
FL,Cantonment,1
FL,Deland,1
FL,Oakland Park,1
FL,Putnam Hall,1
FL,Melbourne,1
FL,Tallahassee,2
FL,Barberville,1
FL,Osteen,1
FL,West Palm Beach,1
FL,Miami Beach,1
FL,Clermont,1
FL,Fort Pierce,3
FL,Panama City Beach,1
FL,Gainesville,2
FL,St. Augustine,2
FL,Fort Lauderdale,1
FL,Crystal Springs,1
FL,Pinellas Park,1
FL,Plant City,1
FL,Lealman,2
FL,Orange County,1
FL,Ocala,2
FL,Sneads,1
GA,Macon,1
GA,Port Wentworth,1
GA,Acworth,1
GA,Jesup,1
GA,Atlanta,7
GA,Hampton,1
GA,Lawrenceville,1
GA,Austell,1
GA,Gainesville,1
GA,Eden,1
GA,Marietta,2
GA,Clarkesville,1
GA,Cochran,1
GA,Bonaire,1
GA,Loganville,1
GA,Riverdale,1
GA,Cartersville,2
GA,Smyrna,1
GA,Brooklet,1
GA,Arlington,1
GA,Douglas,1
GA,Decatur,1
GA,Moultrie,1
GA,Commerce,1
GA,Whitfield County,1
GA,Elberton,1
GA,Cobb County,1
GA,Fort Valley,1
GA,Ludowici,1
GA,Carrollton,1
GA,Mableton,1
GA,Newnan,1
GA,Barrow County,1
GA,Rossville,2
GA,Jackson,1
GA,Cedartown,1
GA,Talking Rock,1
GA,Tyrone,1
GA,Cumming,1
GA,Rockville,1
GA,Albany,1
GA,Douglasville,1
GA,Lumpkin,1
GA,East Point,2
GA,Woodstock,1
GA,Stone Mountain,1
GA,Savannah,1
GA,Covington,1
GA,White,1
GA,Stockbridge,2
GA,Peachtree City,1
GA,Powder Springs,1
GA,Sylvester,1
GA,Valdosta,3
GA,Paulding County,1
GA,Lizella,1
GA,Augusta,1
HI,Papaaloa,1
HI,Keaau,1
HI,Kahuku,1
HI,Honolulu,2
HI,Hilo,4
HI,Aiea,1
HI,Maui,1
IA,Urbandale,1
IA,Fort Madison,1
IA,Boone,1
IA,North English,1
IA,Wellman,1
IA,Cedar Rapids,2
IA,Sioux City,1
IA,Burlington,1
IA,Des Moines,3
ID,Rexburg,1
ID,Idaho Falls,1
ID,Boise,5
ID,Jefferson County,1
ID,Hammett,1
ID,Homedale,1
ID,Melba,1
ID,Sandpoint,1
ID,Mountain Home,1
ID,Middleton,1
ID,Kuna,1
ID,Garden City,1
ID,Council,1
IL,Maeystown,1
IL,Joilet,1
IL,Rantoul,1
IL,Rockford,1
IL,Belleville,2
IL,Lawndale,1
IL,Rock Island,1
IL,Stockton,1
IL,Lyons,1
IL,Forest Park,1
IL,Round Lake,1
IL,Villa Park,1
IL,Markham,1
IL,Clinton,1
IL,Deerfield,1
IL,Hurst,1
IL,Zion,2
IL,Benton,1
IL,Harvey,1
IL,North Riverside,1
IL,Arcola,1
IL,River Forest,1
IL,Marion,1
IL,Dolton,1
IL,Jerseyville,1
IL,Springfield,1
IL,Alton,1
IL,Metropolis,2
IL,Antioch,1
IL,Shawnee National Forest,1
IL,Lansing,1
IL,Lisle,1
IL,Washington Park,1
IL,Chicago,25
IL,East St. Louis,1
IN,Hanover,1
IN,Beech Grove,1
IN,Kokomo,1
IN,Fort Wayne,4
IN,Greenwood,1
IN,English,1
IN,Portage,1
IN,Lafayette,1
IN,Brookville,1
IN,Terre Haute,1
IN,Evansville,1
IN,French Lick,1
IN,Elkhart,1
IN,Muncie,3
IN,Goshen,1
IN,Knox,1
IN,Monon,1
IN,Gary,1
IN,Indianapolis,14
IN,Harmony,1
IN,Shelbyville,2
IN,Fishers,1
IN,Vincennes,1
IN,Avon,1
KS,Medicine Lodge,1
KS,Lehigh,1
KS,Gardner,1
KS,Newton,1
KS,Leavenworth,1
KS,Rosalia,1
KS,Hutchinson,2
KS,McPherson,1
KS,Wichita,4
KS,Hays,2
KS,Topeka,2
KS,Assaria,1
KS,Udall,1
KS,Hesston,1
KS,Olathe,1
KS,Kansas City,2
KS,Colby,1
KY,Morehead,1
KY,Burkesville,1
KY,Owensboro,2
KY,Booneville,1
KY,Russellville,1
KY,Trosper,1
KY,Leitchfield,1
KY,Simpsonsville,1
KY,Elsmere,1
KY,Princeton,1
KY,Lancaster,1
KY,Pine Top,1
KY,Richmond,1
KY,White Plains,1
KY,Barbourville,1
KY,Brodhead,1
KY,Bardstown,1
KY,Hiseville,1
KY,East Berstadt,1
KY,Daviess County,1
KY,Elizabethtown,2
KY,Ludlow,1
KY,Berea,1
KY,Chavies,1
KY,Phelps,1
KY,London,1
KY,Fulton,1
KY,Wilmore,1
KY,Edmonton,1
KY,Louisville,6
KY,Lawrenceburg,1
KY,Gunlock,1
KY,Bowling Green,1
KY,Georgetown,1
KY,Paris,1
KY,Fisty,1
LA,Kenner,1
LA,Franklin,1
LA,New Orleans,7
LA,Converse,1
LA,Homer,1
LA,Chalmette,1
LA,Evangeline Parish,1
LA,Pride,1
LA,Pineville,1
LA,Plaquemine,1
LA,Marksville,1
LA,New Iberia,2
LA,Metairie,2
LA,Mamou,1
LA,Port Barre,1
LA,Winnsboro,1
LA,Raceland,1
LA,Houma,3
LA,Alexandria,2
LA,Breaux Bridge,1
LA,Crowley,1
LA,Covington,1
LA,Lakes Charles,1
LA,Mandeville,1
LA,Denham Springs,1
LA,Livingston Parish,1
LA,Gretna,1
LA,Bossier City,1
LA,Baton Rouge,8
LA,Slidell,1
LA,East Baton Rouge,1
LA,Cade,1
LA,Ouachita Parish,1
LA,Shreveport,3
LA,Ragley,1
LA,Harvey,2
MA,Weymouth,1
MA,Boston,5
MA,Spencer,1
MA,Everett,1
MA,Taunton,1
MA,Lynn,4
MA,Oxford,1
MA,Braintree,1
MA,Lowell,1
MA,Webster,1
MA,West Springfield,1
MA,Tewksbury,1
MA,Brockton,1
MA,Roslindale,1
MA,Beverly,1
MD,Fort Meade,1
MD,North East,1
MD,Abingdon,1
MD,District Heights,1
MD,Reisterstown,1
MD,Owings Mills,1
MD,Essex,1
MD,Rising Sun,1
MD,Capitol Heights,1
MD,Randallstown,2
MD,Chestertown,1
MD,Elkridge,1
MD,Greenbelt,1
MD,Pikesville,1
MD,Elkton,3
MD,Landover,2
MD,Overlea,1
MD,Middle River,1
MD,Woodlawn,1
MD,Mt Airy,1
MD,Frederick,1
MD,Salisbury,1
MD,Dundalk,1
MD,Columbia,1
MD,Baltimore,8
MD,Bel Air,1
MD,Montgomery Village,1
ME,Waldoboro,1
ME,Madison,1
ME,Orrington,1
ME,Naples,1
ME,Belgrade,1
ME,Smyrna,1
ME,Portland,1
ME,Vassalboro,2
ME,Bangor,1
ME,Arundel,1
ME,Presque Isle,2
MI,Benton Harbor,1
MI,Southfield,1
MI,Dearborn,2
MI,Hessel,1
MI,Kentwood,2
MI,Warren,1
MI,Ishpeming Township,1
MI,Eaton Rapids Township,1
MI,Portage,1
MI,Algoma Township,1
MI,Marion,1
MI,Romulus,1
MI,Wyoming,2
MI,Beaverton,1
MI,Belleville,1
MI,Lansing,1
MI,Manistee,1
MI,Columbia Township,1
MI,Holland Township,1
MI,Bloomfield Township,1
MI,Cato Township,1
MI,Roxand Township,1
MI,Saginaw,1
MI,Bay City,1
MI,Detroit,5
MI,Trenton,1
MI,St. Joseph,1
MI,Berrien County,1
MI,Grand Rapids,1
MI,Brighton Township,1
MN,St. Paul,6
MN,Minneapolis,3
MN,Peterson,1
MN,North Branch,1
MN,Mora,1
MN,Falcon Heights,1
MN,Cohasset,1
MN,Hutchinson,1
MN,Vineland,1
MN,St. Cloud,1
MN,Vadnais Heights,1
MN,Aitkin,1
MN,Morris,1
MN,Plymouth,1
MN,Austin,1
MN,Mankato,1
MN,New Hope,1
MN,Bloomington,1
MN,Roseville,1
MN,Alexandria,1
MN,Columbia Heights,1
MN,Eagan,1
MN,Fridley,1
MN,Burnsville,2
MO,Franklin County,1
MO,Maysville,1
MO,Buffalo,1
MO,Odessa,1
MO,Sedalia,1
MO,Kansas City,10
MO,Neosho,1
MO,Cape Girardeau,1
MO,Columbia,3
MO,Jennings,1
MO,Affton,1
MO,Lee's Summit,1
MO,Ozark,1
MO,North St. Louis,1
MO,Jackson,1
MO,St. Joseph,1
MO,St Louis,2
MO,Poplar Bluff,1
MO,Harrisonville,1
MO,Nevada,1
MO,Florissant,1
MO,Big Bear,1
MO,Springfield,4
MO,Sugar Creek,3
MO,Lampe,1
MO,Lakeshire,1
MO,Independence,1
MO,McDowell,1
MO,St. Louis,15
MO,Blue Springs,2
MO,Republic,1
MO,Sullivan,1
MS,Lucedale,1
MS,Ruth,1
MS,Petal,1
MS,Biloxi,1
MS,Smithville,1
MS,Columbus,2
MS,Southaven,2
MS,Greenville,1
MS,Gulfport,1
MS,Hattiesburg,1
MS,Gautier,1
MS,Water Valley,2
MS,Tupelo,2
MS,St. Martin,1
MS,Brookhaven,1
MS,Walls,1
MS,Iuka,2
MS,Barton,1
MT,Superior,1
MT,Dillon,1
MT,Livingston,1
MT,Three Forks,1
MT,Billings,4
MT,Huntley,1
MT,Butte,1
MT,Malta,1
NC,Raleigh,2
NC,Brevard,1
NC,Kinston,1
NC,East Flat Rock,1
NC,Rutherfordton,1
NC,Charlotte,11
NC,Salisbury,1
NC,Hudson,1
NC,Lawndale,1
NC,Fayetteville,2
NC,Wadesboro,1
NC,Dublin,1
NC,Greensboro,2
NC,Cary,1
NC,Gaston County,1
NC,Lumberton,1
NC,Dallas,1
NC,Hickory,2
NC,Canton,1
NC,Spring Lake,1
NC,Maiden,1
NC,Wake Forest,2
NC,Pinnacle,1
NC,Newton Grove,1
NC,Shelby,1
NC,Peachland,1
NC,Efland,1
NC,Statesville,1
NC,Iredell County,1
NC,Salemburg,1
NC,Anson County,1
NC,Wilkesboro,1
NC,Stoneville,1
NC,Granite Falls,1
NC,Greenville,1
NC,Union Grove,1
NC,Leland,1
NC,Gastonia,3
NC,Asheville,1
NC,Durham,4
NC,Pleasant Hill,1
NC,Archdale,1
NC,Tarboro,1
NC,Clinton,1
NC,Franklin,1
NC,Ashe County,1
NC,Lenoir,1
NC,Ronda,1
NC,Rowland,1
ND,Bismarck,1
ND,Grand Forks,1
ND,Mandan,1
ND,Wood Lake,1
NE,Sidney,1
NE,Louisville,1
NE,York,1
NE,Big Springs,1
NE,Omaha,8
NE,Lincoln,3
NH,Merrimack,1
NH,Derry,1
NH,Peterborough,1
NH,Bath,1
NH,Claremont,1
NH,Newton,1
NH,Hampton,1
NJ,Hamilton,1
NJ,New Brunswick,1
NJ,Toms River,1
NJ,Little Egg Harbor Township,1
NJ,Maurice River,1
NJ,Cranbury Township,1
NJ,Newark,5
NJ,Bridgeton,1
NJ,Brick Township,1
NJ,Byram,1
NJ,Manchester,2
NJ,Woodbridge,1
NJ,Vineland,1
NJ,Paterson,3
NJ,Winslow,1
NJ,Hackensack,2
NJ,Little Egg Harbor,1
NJ,Old Bridge,1
NJ,Trenton,1
NJ,Atlantic City,2
NJ,Camden,3
NJ,Ventnor,1
NJ,Ideal Beach,1
NJ,Lyndhurst,1
NM,Los Lunas,1
NM,Artesia,2
NM,Crownpoint,1
NM,Edgewood,1
NM,Jal,1
NM,San Rafael,1
NM,Hanover,1
NM,Taos,1
NM,Roswell,2
NM,Deming,1
NM,Albuquerque,14
