State,City,White,Black,Hispanic,Native,Asian
AL,Abanda CDP,67.2,30.2,1.6,0.0,0.0
AL,Abbeville,54.4,41.4,3.1,0.1,1.0
AL,Adamsville,52.3,44.9,2.3,0.5,0.3
AL,Addison town,99.1,0.1,0.4,0.0,0.1
AL,Akron town,13.2,86.5,0.3,0.0,0.0
AL,Alabaster,79.4,13.5,9.0,0.4,0.9
AL,Albertville,75.9,1.9,27.9,0.8,0.5
AL,Alexander,62.2,32.0,4.8,0.2,0.9
AL,Alexandria CDP,87.4,10.2,0.9,0.3,0.5
AL,Aliceville,22.6,74.9,1.2,0.1,0.0
AL,Allgood town,79.6,0.6,49.4,0.3,0.6
AL,Altoona town,95.8,1.7,1.1,0.2,0.2
AL,Andalusia,70.5,25.9,1.9,0.4,1.0
AL,Anderson town,97.9,0.0,0.7,0.4,0.0
AL,Anniston,44.7,51.5,2.7,0.3,0.8
AL,Arab,96.6,0.1,1.7,0.6,0.7
AL,Ardmore town,94.3,1.9,1.3,0.8,0.9
AL,Argo town,94.1,3.6,0.5,0.4,0.3
AL,Ariton town,78.3,19.2,6.0,0.0,0.1
AL,Arley town,94.4,0.0,1.4,0.6,0.3
AL,Ashford town,79.0,19.5,0.8,0.2,0.2
AL,Ashland town,71.5,24.1,5.7,0.3,0.7
AL,Ashville,75.8,20.3,3.8,0.2,0.3
AL,Athens,73.0,17.5,8.8,0.6,0.9
AL,Atmore,40.0,55.6,1.8,1.8,0.3
AL,Attalla,81.5,12.7,4.7,0.4,0.5
AL,Auburn,75.1,16.5,2.9,0.3,5.3
AL,Autaugaville town,31.3,66.8,0.8,0.2,0.0
AL,Avon town,94.7,1.8,1.3,1.8,0.0
AL,Axis CDP,66.8,26.9,0.9,3.2,0.1
AL,Babbie town,96.7,0.0,0.2,0.0,1.5
AL,Baileyton town,96.2,0.2,1.5,0.5,0.0
AL,Bakerhill town,61.6,35.5,1.1,0.7,0.0
AL,Ballplay CDP,97.5,0.1,1.0,0.7,0.3
AL,Banks town,69.3,24.6,1.1,2.2,0.0
AL,Bay Minette,60.4,35.3,1.8,1.0,0.8
AL,Bayou La Batre,60.3,12.3,2.8,0.4,22.8
AL,Bear Creek town,97.1,0.1,1.8,0.7,0.2
AL,Beatrice town,23.6,76.1,0.0,0.3,0.0
AL,Beaverton town,95.0,5.0,1.0,0.0,0.0
AL,Belgreen CDP,96.1,0.0,3.9,0.0,0.0
AL,Belk town,95.8,2.8,0.9,0.0,0.5
AL,Bellamy CDP,8.3,90.8,1.3,0.0,0.9
AL,Belle Fontaine CDP,92.3,1.6,3.6,0.5,2.3
AL,Benton town,81.6,18.4,0.0,0.0,0.0
AL,Berry town,90.8,7.4,0.8,0.0,0.0
AL,Bessemer,24.3,71.2,4.1,0.3,0.2
AL,Billingsley town,86.1,11.1,0.7,2.1,0.0
AL,Birmingham,22.3,73.4,3.6,0.2,1.0
AL,Black town,92.3,6.3,0.0,0.0,0.0
AL,Blountsville town,87.3,0.7,15.3,1.0,0.4
AL,Blue Ridge CDP,94.5,2.7,1.0,0.7,0.9
AL,Blue Springs town,92.7,6.3,3.1,0.0,1.0
AL,Boaz,87.3,1.8,14.2,0.4,0.7
AL,Boligee town,8.8,90.2,0.3,0.0,0.0
AL,Bon Air town,80.2,6.9,2.6,2.6,0.0
AL,Boykin CDP,4.0,95.3,0.7,0.0,0.0
AL,Brantley town,56.1,38.8,2.0,0.6,0.5
AL,Brantleyville CDP,82.1,3.3,12.6,0.9,0.5
AL,Brent,45.1,53.5,2.1,0.1,0.0
AL,Brewton,54.1,42.6,2.2,0.7,0.4
AL,Bridgeport,84.0,8.6,1.7,1.9,0.2
AL,Brighton,6.5,81.0,13.8,1.0,0.0
AL,Brilliant town,98.3,0.2,1.6,0.1,0.1
AL,Bristow Cove CDP,91.1,0.0,6.6,1.5,0.1
AL,Brook Highland CDP,73.6,16.2,7.8,0.2,4.4
AL,Brookside town,79.5,18.5,0.7,0.3,0.1
AL,Brookwood town,92.2,5.3,2.0,0.7,0.1
AL,Broomtown CDP,98.4,1.6,0.0,0.0,0.0
AL,Brundidge,34.1,62.9,3.0,0.5,0.6
AL,Bucks CDP,59.4,31.3,3.1,3.1,0.0
AL,Butler town,71.4,26.7,0.7,0.2,0.2
AL,Calera,71.2,23.0,5.0,0.2,0.6
AL,Calvert CDP,53.1,35.4,2.2,6.9,0.0
AL,Camden,42.0,57.4,0.7,0.1,0.0
AL,Camp Hill town,10.2,88.4,0.7,0.1,0.1
AL,Carbon Hill,89.4,8.2,1.2,0.2,0.1
AL,Cardiff town,94.5,5.5,0.0,0.0,0.0
AL,Carlisle-Rockledge CDP,95.0,0.9,3.1,0.9,0.1
AL,Carlton CDP,66.2,33.8,3.1,0.0,0.0
AL,Carolina town,96.6,0.3,0.0,0.3,0.0
AL,Carrollton town,49.0,43.1,10.4,0.1,0.0
AL,Castleberry town,59.2,38.4,0.5,0.3,0.0
AL,Catherine CDP,72.7,27.3,0.0,0.0,0.0
AL,Cedar Bluff town,86.2,9.9,1.2,0.7,0.3
AL,Center Point,32.6,62.9,4.8,0.2,0.4
AL,Centre,87.0,9.9,1.2,0.4,0.3
AL,Centreville,72.2,23.7,3.0,0.3,0.4
AL,Chatom town,68.2,31.1,0.6,0.0,0.0
AL,Chelsea,89.5,5.7,3.2,0.3,2.0
AL,Cherokee town,77.6,18.3,1.7,0.5,0.3
AL,Chickasaw,63.0,33.6,2.3,0.8,0.5
AL,Childersburg,60.1,36.9,1.3,0.4,0.5
AL,Choccolocco CDP,87.5,7.2,4.3,0.3,0.7
AL,Chunchula CDP,45.7,51.9,0.5,0.0,0.0
AL,Citronelle,70.7,20.2,2.6,4.9,0.5
AL,Clanton,74.9,19.1,6.0,0.3,0.6
AL,Clay,84.1,13.3,1.3,0.3,0.6
AL,Clayhatchee town,94.9,1.7,2.4,0.3,0.3
AL,Clayton town,35.8,63.8,0.6,0.0,0.0
AL,Cleveland town,89.2,0.3,18.4,0.2,0.3
AL,Clio,32.0,36.5,36.0,0.4,0.5
AL,Coaling town,86.4,11.4,0.8,0.1,0.1
AL,Coats Bend CDP,84.4,12.6,0.9,0.5,0.0
AL,Coffee Springs town,96.1,0.0,2.6,0.0,0.0
AL,Coffeeville town,51.4,46.0,0.6,0.0,0.0
AL,Coker town,95.2,2.0,1.8,0.2,0.9
AL,Collinsville town,47.8,9.0,43.1,1.1,0.1
