State,City,Income,Poverty,Highschool
CT,Pawcatuck CDP,49522.0,15.2,90.0
IA,Stanhope,44167.0,15.5,89.0
MN,Paynesville,42059.0,11.7,83.0
MA,Deerfield CDP,119688.0,7.7,99.4
TX,Midway South CDP,30481.0,31.6,52.6
MO,Chaffee,32992.0,21.1,80.8
OK,Helena town,52500.0,12.0,83.8
IA,Milford,47024.0,12.5,93.8
OH,Morristown village,42917.0,6.4,92.5
OH,Lancaster,36226.0,21.3,86.8
LA,Pointe a la Hache CDP,107845.0,39.9,87.8
FL,Pine Air CDP,41144.0,20.1,74.8
MO,East Prairie,22877.0,36.4,63.8
IL,Broadwell village,42500.0,11.1,86.8
PA,Tidioute borough,30000.0,13.4,92.3
MO,Oran,39700.0,15.2,82.6
OR,Sodaville,50938.0,9.9,89.5
ND,Esmond,31250.0,13.6,77.6
OH,New Lexington village,36064.0,25.6,82.3
TX,Oglesby,49531.0,23.4,74.2
NJ,Whitesboro CDP,39574.0,2.4,75.9
FL,Orlovista CDP,34284.0,19.6,81.0
KS,Melvern,38125.0,19.2,86.8
MO,Frankclay CDP,19531.0,13.3,74.2
NE,Lyons,38875.0,13.9,90.2
GA,Ball Ground,65125.0,8.4,89.2
MI,Rochester Hills,82112.0,5.5,95.7
MS,Lexington,26083.0,41.4,79.6
TX,Lakeview town,36250.0,0.0,72.0
CA,Alamo CDP,165070.0,1.9,98.5
IL,Hoffman Estates village,84583.0,5.2,91.8
PA,Coaldale borough (Schuylkill County),31398.0,30.4,86.5
UT,Joseph town,42083.0,14.3,77.4
MS,North Carrollton town,32266.0,17.3,84.7
IA,Ackworth,40000.0,0.0,75.8
CA,Arroyo Grande,62032.0,6.8,93.9
AK,McKinley Park CDP,78750.0,30.2,97.1
NY,Mexico village,51111.0,21.2,93.7
NJ,Leisure Village CDP,32277.0,11.7,83.3
KS,Oswego,41172.0,13.1,90.8
CA,Matheny CDP,30565.0,36.8,44.7
NJ,Wildwood,27067.0,29.1,79.7
CA,Acalanes Ridge CDP,156953.0,2.5,100.0
OR,La Grande,39135.0,22.5,93.3
KY,Lebanon,25559.0,34.8,76.3
AK,Point Hope,57292.0,17.6,83.6
