Code,Name,Income
WI,Wisconsin,50411.40077821012
ME,Maine,45397.47286821705
NH,New Hampshire,54026.318681318684
FL,Florida,50253.18284424379
IA,Iowa,48116.04860392968
TN,Tennessee,42232.72684085511
MO,Missouri,41961.208205128205
OK,Oklahoma,40392.05676855895
CA,California,62608.44017725258
NJ,New Jersey,80901.07102803739
NV,Nevada,57322.970588235294
SC,South Carolina,39590.327176781
AK,Alaska,52099.594405594406
GA,Georgia,40127.55756578947
MI,Michigan,44985.23503649635
KY,Kentucky,46088.69841269841
WY,Wyoming,60874.993464052284
MA,Massachusetts,71765.91286307054
MS,Mississippi,35002.09912536443
VT,Vermont,46284.77777777778
KS,Kansas,45093.353125
ND,North Dakota,52141.705882352944
TX,Texas,51529.28025889968
WA,Washington,59315.28222996516
CO,Colorado,58857.69704433498
NE,Nebraska,46582.90740740741
NY,New York,70351.70221843003
IL,Illinois,54052.70614359734
VA,Virginia,61867.67934782609
PA,Pennsylvania,51758.76615746181
AR,Arkansas,35593.40891472868
CT,Connecticut,75149.6524822695
UT,Utah,60216.36877076412
SD,South Dakota,45408.26112759644
MD,Maryland,79970.6330472103
NC,North Carolina,43302.33758865248
AZ,Arizona,42388.43967828418
OH,Ohio,50627.46928327645
MN,Minnesota,51678.65834279228
NM,New Mexico,40952.90536277602
RI,Rhode Island,64537.54285714286
DC,District of Columbia,70848.0
ID,Idaho,42484.78971962617
AL,Alabama,40577.30952380953
DE,Delaware,61792.40789473684
LA,Louisiana,41635.90570175439
OR,Oregon,48088.06647398844
IN,Indiana,48024.22153846154
WV,West Virginia,38995.17548746518
HI,Hawaii,64708.74496644295
MT,Montana,45119.98119122257

